genome_acc,annotation,genomePath,taxon
GCF_028885625.2,data/annotations/GCF_028885625.2_NHGRI_mPonPyg2-v2.0_pri_genomic.gtf.gz,data/genomes/Pongo_pygmaeus.fasta.gz,Mammalia
GCF_027887165.1,data/annotations/GCF_027887165.1_mMonDom1.pri_genomic.gtf.gz,data/genomes/Monodelphis_domestica.fasta.gz,Mammalia
GCF_043159975.1,data/annotations/GCF_043159975.1_mMacNem.hap1_genomic.gtf.gz,data/genomes/Macaca_nemestrina.fasta.gz,Mammalia
GCF_036323735.1,data/annotations/GCF_036323735.1_GRCr8_genomic.gtf.gz,data/genomes/Rattus_norvegicus.fasta.gz,Mammalia
GCF_000003025.6,data/annotations/GCF_000003025.6_Sscrofa11.1_genomic.gtf.gz,data/genomes/Sus_scrofa.fasta.gz,Mammalia
GCF_964199755.1,data/annotations/GCF_964199755.1_bLarMic1.1_genomic.gtf.gz,data/genomes/Larus_michahellis.fasta.gz,Aves
GCF_040869285.1,data/annotations/GCF_040869285.1_UKY_Mglu_1.0_genomic.gtf.gz,data/genomes/Myxine_glutinosa.fasta.gz,Myxini
GCF_040938575.1,data/annotations/GCF_040938575.1_UKY_AmexF1_1_genomic.gtf.gz,data/genomes/Ambystoma_mexicanum.fasta.gz,Amphibia
GCF_002263795.3,data/annotations/GCF_002263795.3_ARS-UCD2.0_genomic.gtf.gz,data/genomes/Bos_taurus.fasta.gz,Mammalia
GCF_028641065.1,data/annotations/GCF_028641065.1_Leri_hhj_1_genomic.gtf.gz,data/genomes/Leucoraja_erinaceus.fasta.gz,Chondrichthyes
GCF_029378745.1,data/annotations/GCF_029378745.1_NIAB-ARS_B.indTharparkar_mat_pri_1.0_genomic.gtf.gz,data/genomes/Bos_indicus.fasta.gz,Mammalia
GCF_001266775.1,data/annotations/GCF_001266775.1_Austrofundulus_limnaeus-1.0_genomic.gtf.gz,data/genomes/Austrofundulus_limnaeus.fasta.gz,Actinopteri
GCF_043380555.1,data/annotations/GCF_043380555.1_NfurGRZ-RIMD1_genomic.gtf.gz,data/genomes/Nothobranchius_furzeri.fasta.gz,Actinopteri
GCF_028583685.1,data/annotations/GCF_028583685.1_PetGlider_PUasm1.0_genomic.gtf.gz,data/genomes/Petaurus_breviceps.fasta.gz,Mammalia
GCF_963259705.1,data/annotations/GCF_963259705.1_mMyoDau2.1_genomic.gtf.gz,data/genomes/Myotis_daubentonii.fasta.gz,Mammalia
GCF_036562045.2,data/annotations/GCF_036562045.2_ASM3656204v1_genomic.gtf.gz,data/genomes/Rhinolophus_sinicus.fasta.gz,Mammalia
GCF_047663525.1,data/annotations/GCF_047663525.1_IASCAAS_PekinDuck_T2T_genomic.gtf.gz,data/genomes/Anas_platyrhynchos.fasta.gz,Aves
GCF_020085105.1,data/annotations/GCF_020085105.1_ASM2008510v1_genomic.gtf.gz,data/genomes/Siniperca_chuatsi.fasta.gz,Actinopteri
GCF_016699485.2,data/annotations/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.gtf.gz,data/genomes/Gallus_gallus.fasta.gz,Aves
GCF_040182565.1,data/annotations/GCF_040182565.1_Taihu_goose_T2T_genome_genomic.gtf.gz,data/genomes/Anser_cygnoides.fasta.gz,Aves
GCF_000004195.4,data/annotations/GCF_000004195.4_UCB_Xtro_10.0_genomic.gtf.gz,data/genomes/Xenopus_tropicalis.fasta.gz,Amphibia
GCF_017639785.1,data/annotations/GCF_017639785.1_BCM_Maur_2.0_genomic.gtf.gz,data/genomes/Mesocricetus_auratus.fasta.gz,Mammalia
GCF_021234435.1,data/annotations/GCF_021234435.1_CSHL_Jam_final_genomic.gtf.gz,data/genomes/Artibeus_jamaicensis.fasta.gz,Mammalia
GCF_949628215.1,data/annotations/GCF_949628215.1_bGulAri2.1_genomic.gtf.gz,data/genomes/Phalacrocorax_aristotelis.fasta.gz,Aves
GCF_029281585.2,data/annotations/GCF_029281585.2_NHGRI_mGorGor1-v2.1_pri_genomic.gtf.gz,data/genomes/Gorilla_gorilla.fasta.gz,Mammalia
GCF_027574615.1,data/annotations/GCF_027574615.1_DD_ASM_mEF_20220401_genomic.gtf.gz,data/genomes/Eptesicus_fuscus.fasta.gz,Mammalia
GCF_022376915.1,data/annotations/GCF_022376915.1_ASM2237691v1_genomic.gtf.gz,data/genomes/Moschus_berezovskii.fasta.gz,Mammalia
GCF_008728515.1,data/annotations/GCF_008728515.1_Panubis1.0_genomic.gtf.gz,data/genomes/Papio_anubis.fasta.gz,Mammalia
GCF_905237065.1,data/annotations/GCF_905237065.1_Ssal_v3.1_genomic.gtf.gz,data/genomes/Salmo_salar.fasta.gz,Actinopteri
