id,assay,bam,csv,forward_bw,genome,metadata,processed,reverse_bw,source
SRS10105303,ATAC,None,None,SRS10105303/SRS10105303.forward.bw,genomes/Rattus_norvegicus.fasta.gz,SRS10105303/SRS10105303.json,Egor,SRS10105303/SRS10105303.reverse.bw,NCBI
SRS8480064,ATAC,None,None,SRS8480064/SRS8480064.forward.bw,genomes/Larimichthys_crocea.fasta.gz,SRS8480064/SRS8480064.json,Egor,SRS8480064/SRS8480064.reverse.bw,NCBI
ERS4534601,ATAC,None,None,ERS4534601/ERS4534601.forward.bw,genomes/Salmo_salar.fasta.gz,ERS4534601/ERS4534601.json,Egor,ERS4534601/ERS4534601.reverse.bw,NCBI
SRS10403916,ATAC,None,None,SRS10403916/SRS10403916.forward.bw,genomes/Macaca_mulatta.fasta.gz,SRS10403916/SRS10403916.json,Egor,SRS10403916/SRS10403916.reverse.bw,NCBI
SRS6893055,ATAC,None,None,SRS6893055/SRS6893055.forward.bw,genomes/Astyanax_mexicanus.fasta.gz,SRS6893055/SRS6893055.json,Egor,SRS6893055/SRS6893055.reverse.bw,NCBI
SRS18949437,ATAC,None,None,SRS18949437/SRS18949437.forward.bw,genomes/Ovis_aries.fasta.gz,SRS18949437/SRS18949437.json,Egor,SRS18949437/SRS18949437.reverse.bw,NCBI
ERS3646492,ATAC,None,None,ERS3646492/ERS3646492.forward.bw,genomes/Pan_troglodytes.fasta.gz,ERS3646492/ERS3646492.json,Egor,ERS3646492/ERS3646492.reverse.bw,NCBI
SRS19000313,ATAC,None,None,SRS19000313/SRS19000313.forward.bw,genomes/Bos_taurus.fasta.gz,SRS19000313/SRS19000313.json,Egor,SRS19000313/SRS19000313.reverse.bw,NCBI
ERS17943585,ATAC,None,None,ERS17943585/ERS17943585.forward.bw,genomes/Salmo_salar.fasta.gz,ERS17943585/ERS17943585.json,Egor,ERS17943585/ERS17943585.reverse.bw,NCBI
SRS5139556,ATAC,None,None,SRS5139556/SRS5139556.forward.bw,genomes/Bos_taurus.fasta.gz,SRS5139556/SRS5139556.json,Egor,SRS5139556/SRS5139556.reverse.bw,NCBI
SRS15718420,ATAC,None,None,SRS15718420/SRS15718420.forward.bw,genomes/Ambystoma_mexicanum.fasta.gz,SRS15718420/SRS15718420.json,Egor,SRS15718420/SRS15718420.reverse.bw,NCBI
SRS9341338,ATAC,None,None,SRS9341338/SRS9341338.forward.bw,genomes/Larimichthys_crocea.fasta.gz,SRS9341338/SRS9341338.json,Egor,SRS9341338/SRS9341338.reverse.bw,NCBI
SRS21034570,ATAC,None,None,SRS21034570/SRS21034570.forward.bw,genomes/Nothobranchius_furzeri.fasta.gz,SRS21034570/SRS21034570.json,Egor,SRS21034570/SRS21034570.reverse.bw,NCBI
ERS16192042,ATAC,None,None,ERS16192042/ERS16192042.forward.bw,genomes/Larus_michahellis.fasta.gz,ERS16192042/ERS16192042.json,Egor,ERS16192042/ERS16192042.reverse.bw,NCBI
ERS9828697,ATAC,None,None,ERS9828697/ERS9828697.forward.bw,genomes/Oncorhynchus_mykiss.fasta.gz,ERS9828697/ERS9828697.json,Egor,ERS9828697/ERS9828697.reverse.bw,NCBI
SRS8353014,ATAC,None,None,SRS8353014/SRS8353014.forward.bw,genomes/Gallus_gallus.fasta.gz,SRS8353014/SRS8353014.json,Egor,SRS8353014/SRS8353014.reverse.bw,NCBI
ERS14358297,ATAC,None,None,ERS14358297/ERS14358297.forward.bw,genomes/Vespertilio_murinus.fasta.gz,ERS14358297/ERS14358297.json,Egor,ERS14358297/ERS14358297.reverse.bw,NCBI
SRS21107413,ATAC,None,None,SRS21107413/SRS21107413.forward.bw,genomes/Macaca_nemestrina.fasta.gz,SRS21107413/SRS21107413.json,Egor,SRS21107413/SRS21107413.reverse.bw,NCBI
ERS16977535,ATAC,None,None,ERS16977535/ERS16977535.forward.bw,genomes/Myotis_nattereri.fasta.gz,ERS16977535/ERS16977535.json,Egor,ERS16977535/ERS16977535.reverse.bw,NCBI
SRS23385042,ATAC,None,None,SRS23385042/SRS23385042.forward.bw,genomes/Bos_taurus.fasta.gz,SRS23385042/SRS23385042.json,Egor,SRS23385042/SRS23385042.reverse.bw,NCBI
SRS17146463,ATAC,None,None,SRS17146463/SRS17146463.forward.bw,genomes/Chlorocebus_sabaeus.fasta.gz,SRS17146463/SRS17146463.json,Egor,SRS17146463/SRS17146463.reverse.bw,NCBI
SRS16285332,ATAC,None,None,SRS16285332/SRS16285332.forward.bw,genomes/Artibeus_jamaicensis.fasta.gz,SRS16285332/SRS16285332.json,Egor,SRS16285332/SRS16285332.reverse.bw,NCBI
SRS22289316,ATAC,None,None,SRS22289316/SRS22289316.forward.bw,genomes/Megalobrama_amblycephala.fasta.gz,SRS22289316/SRS22289316.json,Egor,SRS22289316/SRS22289316.reverse.bw,NCBI
SRS10484396,ATAC,None,None,SRS10484396/SRS10484396.forward.bw,genomes/Rattus_norvegicus.fasta.gz,SRS10484396/SRS10484396.json,Egor,SRS10484396/SRS10484396.reverse.bw,NCBI
SRS4458734,ATAC,None,None,SRS4458734/SRS4458734.forward.bw,genomes/Macaca_mulatta.fasta.gz,SRS4458734/SRS4458734.json,Egor,SRS4458734/SRS4458734.reverse.bw,NCBI
SRS21034585,ATAC,None,None,SRS21034585/SRS21034585.forward.bw,genomes/Nothobranchius_furzeri.fasta.gz,SRS21034585/SRS21034585.json,Egor,SRS21034585/SRS21034585.reverse.bw,NCBI
SRS24739999,ATAC,None,None,SRS24739999/SRS24739999.forward.bw,genomes/Bos_taurus.fasta.gz,SRS24739999/SRS24739999.json,Egor,SRS24739999/SRS24739999.reverse.bw,NCBI
DRS519279,ATAC,None,None,DRS519279/DRS519279.forward.bw,genomes/Micropterus_salmoides.fasta.gz,DRS519279/DRS519279.json,Egor,DRS519279/DRS519279.reverse.bw,NCBI
SRS7280338,ATAC,None,None,SRS7280338/SRS7280338.forward.bw,genomes/Bubalus_bubalis.fasta.gz,SRS7280338/SRS7280338.json,Egor,SRS7280338/SRS7280338.reverse.bw,NCBI
