name,file,core_dataset,mean,max,N50,cuts
acanthochromis_polyacanthus/,https://ftp.ensembl.org/pub/release-106/fasta/acanthochromis_polyacanthus/dna/Acanthochromis_polyacanthus.ASM210954v1.dna.toplevel.fa.gz,acanthochromis_polyacanthus_core_106_1/,32602.90182152956,2466117.0,334400.0,0.0
accipiter_nisus/,https://ftp.ensembl.org/pub/release-106/fasta/accipiter_nisus/dna/Accipiter_nisus.Accipiter_nisus_ver1.0.dna.toplevel.fa.gz,accipiter_nisus_core_106_1/,26473.59379655364,940950.0,91241.0,0.0
ailuropoda_melanoleuca/,https://ftp.ensembl.org/pub/release-106/fasta/ailuropoda_melanoleuca/dna/Ailuropoda_melanoleuca.ASM200744v2.dna.primary_assembly.1.fa.gz,ailuropoda_melanoleuca_core_106_2/,212770937.0,212770937.0,212770937.0,0.0
amazona_collaria/,https://ftp.ensembl.org/pub/release-106/fasta/amazona_collaria/dna/Amazona_collaria.ASM394721v1.dna.toplevel.fa.gz,amazona_collaria_core_106_1/,118323.01974055273,73408434.0,13267695.0,0.0
amphilophus_citrinellus/,https://ftp.ensembl.org/pub/release-106/fasta/amphilophus_citrinellus/dna/Amphilophus_citrinellus.Midas_v5.dna.toplevel.fa.gz,amphilophus_citrinellus_core_106_5/,127301.87810757873,8593483.0,1216136.0,0.0
amphiprion_ocellaris/,https://ftp.ensembl.org/pub/release-106/fasta/amphiprion_ocellaris/dna/Amphiprion_ocellaris.AmpOce1.0.dna.toplevel.fa.gz,amphiprion_ocellaris_core_106_1/,137505.21389539423,3111502.0,401715.0,0.0
amphiprion_percula/,https://ftp.ensembl.org/pub/release-106/fasta/amphiprion_percula/dna/Amphiprion_percula.Nemo_v1.dna.primary_assembly.1.fa.gz,amphiprion_percula_core_106_1/,46122984.0,46122984.0,46122984.0,0.0
anabas_testudineus/,https://ftp.ensembl.org/pub/release-106/fasta/anabas_testudineus/dna/Anabas_testudineus.fAnaTes1.2.dna.primary_assembly.1.fa.gz,anabas_testudineus_core_106_12/,27357120.0,27357120.0,27357120.0,0.0
anas_platyrhynchos/,https://ftp.ensembl.org/pub/release-106/fasta/anas_platyrhynchos/dna/Anas_platyrhynchos.ASM874695v1.dna.primary_assembly.1.fa.gz,anas_platyrhynchos_core_106_1/,208326429.0,208326429.0,208326429.0,0.0
anas_platyrhynchos_platyrhynchos/,https://ftp.ensembl.org/pub/release-106/fasta/anas_platyrhynchos_platyrhynchos/dna/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.dna.primary_assembly.1.fa.gz,anas_platyrhynchos_platyrhynchos_core_106_1/,202396406.0,202396406.0,202396406.0,0.0
anas_zonorhyncha/,https://ftp.ensembl.org/pub/release-106/fasta/anas_zonorhyncha/dna/Anas_zonorhyncha.ASM222487v1.dna.toplevel.fa.gz,anas_zonorhyncha_core_106_1/,65249.51839315048,25320044.0,2077029.0,0.0
anolis_carolinensis/,https://ftp.ensembl.org/pub/release-106/fasta/anolis_carolinensis/dna/Anolis_carolinensis.AnoCar2.0v2.dna.primary_assembly.1.fa.gz,anolis_carolinensis_core_106_2/,263920458.0,263920458.0,263920458.0,0.0
anser_brachyrhynchus/,https://ftp.ensembl.org/pub/release-106/fasta/anser_brachyrhynchus/dna/Anser_brachyrhynchus.ASM259213v1.dna.toplevel.fa.gz,anser_brachyrhynchus_core_106_1/,410206.5347043702,23479615.0,4974386.0,0.0
anser_cygnoides/,https://ftp.ensembl.org/pub/release-106/fasta/anser_cygnoides/dna/Anser_cygnoides.GooseV1.0.dna.toplevel.fa.gz,anser_cygnoides_core_106_1/,627582.8328706274,20207557.0,5027881.0,0.0
aotus_nancymaae/,https://ftp.ensembl.org/pub/release-106/fasta/aotus_nancymaae/dna/Aotus_nancymaae.Anan_2.0.dna.toplevel.fa.gz,aotus_nancymaae_core_106_1/,24052.371918475852,2041582.0,126455.0,83929.0
apteryx_haastii/,https://ftp.ensembl.org/pub/release-106/fasta/apteryx_haastii/dna/Apteryx_haastii.aptHaa1.dna.toplevel.fa.gz,apteryx_haastii_core_106_1/,292001.23165192443,7925965.0,1371329.0,0.0
apteryx_owenii/,https://ftp.ensembl.org/pub/release-106/fasta/apteryx_owenii/dna/Apteryx_owenii.aptOwe1.dna.toplevel.fa.gz,apteryx_owenii_core_106_1/,241616.26824960753,17302385.0,1622467.0,0.0
apteryx_rowi/,https://ftp.ensembl.org/pub/release-106/fasta/apteryx_rowi/dna/Apteryx_rowi.aptRow1.dna.toplevel.fa.gz,apteryx_rowi_core_106_1/,298277.4060679612,12705442.0,1672276.0,0.0
aquila_chrysaetos_chrysaetos/,https://ftp.ensembl.org/pub/release-106/fasta/aquila_chrysaetos_chrysaetos/dna/Aquila_chrysaetos_chrysaetos.bAquChr1.2.dna.primary_assembly.1.fa.gz,aquila_chrysaetos_chrysaetos_core_106_12/,85456622.0,85456622.0,85456622.0,0.0
astatotilapia_calliptera/,https://ftp.ensembl.org/pub/release-106/fasta/astatotilapia_calliptera/dna/Astatotilapia_calliptera.fAstCal1.2.dna.primary_assembly.1.fa.gz,astatotilapia_calliptera_core_106_12/,41162407.0,41162407.0,41162407.0,0.0
astyanax_mexicanus/,https://ftp.ensembl.org/pub/release-106/fasta/astyanax_mexicanus/dna/Astyanax_mexicanus.Astyanax_mexicanus-2.0.dna.primary_assembly.1.fa.gz,astyanax_mexicanus_core_106_2/,26953843.0,26953843.0,26953843.0,0.0
astyanax_mexicanus_pachon/,https://ftp.ensembl.org/pub/release-106/fasta/astyanax_mexicanus_pachon/dna/Astyanax_mexicanus_pachon.Astyanax_mexicanus-1.0.2.dna.toplevel.fa.gz,astyanax_mexicanus_pachon_core_106_102/,110968.10172333488,9823298.0,1775308.0,0.0
athene_cunicularia/,https://ftp.ensembl.org/pub/release-106/fasta/athene_cunicularia/dna/Athene_cunicularia.athCun1.dna.toplevel.fa.gz,athene_cunicularia_core_106_1/,2600155.797752809,153432714.0,42147404.0,0.0
balaenoptera_musculus/,https://ftp.ensembl.org/pub/release-106/fasta/balaenoptera_musculus/dna/Balaenoptera_musculus.mBalMus1.v2.dna.primary_assembly.1.fa.gz,balaenoptera_musculus_core_106_2/,185157308.0,185157308.0,185157308.0,0.0
betta_splendens/,https://ftp.ensembl.org/pub/release-106/fasta/betta_splendens/dna/Betta_splendens.fBetSpl5.2.dna.primary_assembly.1.fa.gz,betta_splendens_core_106_52/,22294991.0,22294991.0,22294991.0,0.0
bison_bison_bison/,https://ftp.ensembl.org/pub/release-106/fasta/bison_bison_bison/dna/Bison_bison_bison.Bison_UMD1.0.dna.toplevel.fa.gz,bison_bison_bison_core_106_1/,6560.951612903225,43721425.0,6873254.0,0.0
bos_grunniens/,https://ftp.ensembl.org/pub/release-106/fasta/bos_grunniens/dna/Bos_grunniens.LU_Bosgru_v3.0.dna.primary_assembly.1.fa.gz,bos_grunniens_core_106_3/,172394104.0,172394104.0,172394104.0,0.0
bos_indicus_hybrid/,https://ftp.ensembl.org/pub/release-106/fasta/bos_indicus_hybrid/dna/Bos_indicus_hybrid.UOA_Brahman_1.dna.primary_assembly.1.fa.gz,bos_indicus_hybrid_core_106_1/,156943404.0,156943404.0,156943404.0,0.0
bos_mutus/,https://ftp.ensembl.org/pub/release-106/fasta/bos_mutus/dna/Bos_mutus.BosGru_v2.0.dna.toplevel.fa.gz,bos_mutus_core_106_2/,64215.428020003885,8785736.0,1407960.0,0.0
bos_taurus/,https://ftp.ensembl.org/pub/release-106/fasta/bos_taurus/dna/Bos_taurus.ARS-UCD1.2.dna.primary_assembly.1.fa.gz,bos_taurus_core_106_12/,158534110.0,158534110.0,158534110.0,0.0
bos_taurus_hybrid/,https://ftp.ensembl.org/pub/release-106/fasta/bos_taurus_hybrid/dna/Bos_taurus_hybrid.UOA_Angus_1.dna.primary_assembly.1.fa.gz,bos_taurus_hybrid_core_106_1/,157005132.0,157005132.0,157005132.0,0.0
bubo_bubo/,https://ftp.ensembl.org/pub/release-106/fasta/bubo_bubo/dna/Bubo_bubo.BubBub1.0.dna.toplevel.fa.gz,bubo_bubo_core_106_1/,35273.63104917849,29915079.0,8019613.0,0.0
buteo_japonicus/,https://ftp.ensembl.org/pub/release-106/fasta/buteo_japonicus/dna/Buteo_japonicus.ButJap1.0.dna.toplevel.fa.gz,buteo_japonicus_core_106_1/,43142.40638378027,31377212.0,7468869.0,0.0
caenorhabditis_elegans/,https://ftp.ensembl.org/pub/release-106/fasta/caenorhabditis_elegans/dna/Caenorhabditis_elegans.WBcel235.dna.toplevel.fa.gz,caenorhabditis_elegans_core_106_279/,14326627.714285715,20924179.0,17493828.0,0.0
cairina_moschata_domestica/,https://ftp.ensembl.org/pub/release-106/fasta/cairina_moschata_domestica/dna/Cairina_moschata_domestica.CaiMos1.0.dna.primary_assembly.1.fa.gz,cairina_moschata_domestica_core_106_1/,177537710.0,177537710.0,177537710.0,0.0
calidris_pugnax/,https://ftp.ensembl.org/pub/release-106/fasta/calidris_pugnax/dna/Calidris_pugnax.ASM143184v1.dna.toplevel.fa.gz,calidris_pugnax_core_106_1/,327496.4790833999,51414391.0,10060041.0,0.0
calidris_pygmaea/,https://ftp.ensembl.org/pub/release-106/fasta/calidris_pygmaea/dna/Calidris_pygmaea.ASM369795v1.dna.toplevel.fa.gz,calidris_pygmaea_core_106_1/,39518.088604198805,21947536.0,3136279.0,0.0
callithrix_jacchus/,https://ftp.ensembl.org/pub/release-106/fasta/callithrix_jacchus/dna/Callithrix_jacchus.mCalJac1.pat.X.dna.primary_assembly.1.fa.gz,callithrix_jacchus_core_106_1/,216975769.0,216975769.0,216975769.0,0.0
callorhinchus_milii/,https://ftp.ensembl.org/pub/release-106/fasta/callorhinchus_milii/dna/Callorhinchus_milii.Callorhinchus_milii-6.1.3.dna.toplevel.fa.gz,callorhinchus_milii_core_106_613/,45958.243067345786,18507834.0,4521921.0,0.0
camarhynchus_parvulus/,https://ftp.ensembl.org/pub/release-106/fasta/camarhynchus_parvulus/dna/Camarhynchus_parvulus.STF_HiC.dna.primary_assembly.1.fa.gz,camarhynchus_parvulus_core_106_1/,115307910.0,115307910.0,115307910.0,0.0
camelus_dromedarius/,https://ftp.ensembl.org/pub/release-106/fasta/camelus_dromedarius/dna/Camelus_dromedarius.CamDro2.dna.primary_assembly.1.fa.gz,camelus_dromedarius_core_106_2/,124992380.0,124992380.0,124992380.0,0.0
canis_lupus_dingo/,https://ftp.ensembl.org/pub/release-106/fasta/canis_lupus_dingo/dna/Canis_lupus_dingo.ASM325472v1.dna.toplevel.fa.gz,canis_lupus_dingo_core_106_1/,998294.397299509,123300533.0,34446301.0,0.0
canis_lupus_familiaris/,https://ftp.ensembl.org/pub/release-106/fasta/canis_lupus_familiaris/dna/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.primary_assembly.1.fa.gz,canis_lupus_familiaris_core_106_1/,123313939.0,123313939.0,123313939.0,0.0
canis_lupus_familiarisbasenji/,https://ftp.ensembl.org/pub/release-106/fasta/canis_lupus_familiarisbasenji/dna/Canis_lupus_familiarisbasenji.Basenji_breed-1.1.dna.primary_assembly.1.fa.gz,canis_lupus_familiarisbasenji_core_106_11/,123211329.0,123211329.0,123211329.0,0.0
canis_lupus_familiarisboxer/,https://ftp.ensembl.org/pub/release-106/fasta/canis_lupus_familiarisboxer/dna/Canis_lupus_familiarisboxer.Dog10K_Boxer_Tasha.dna.primary_assembly.1.fa.gz,canis_lupus_familiarisboxer_core_106_1/,122014068.0,122014068.0,122014068.0,0.0
canis_lupus_familiarisgreatdane/,https://ftp.ensembl.org/pub/release-106/fasta/canis_lupus_familiarisgreatdane/dna/Canis_lupus_familiarisgreatdane.UMICH_Zoey_3.1.dna.primary_assembly.1.fa.gz,canis_lupus_familiarisgreatdane_core_106_31/,122894117.0,122894117.0,122894117.0,0.0
capra_hircus/,https://ftp.ensembl.org/pub/release-106/fasta/capra_hircus/dna/Capra_hircus.ARS1.dna.toplevel.fa.gz,capra_hircus_core_106_1/,97729.07142140636,157403527.0,87277231.0,0.0
capra_hircus_blackbengal/,https://ftp.ensembl.org/pub/release-106/fasta/capra_hircus_blackbengal/dna/Capra_hircus_blackbengal.CVASU_BBG_1.0.dna.primary_assembly.1.fa.gz,capra_hircus_blackbengal_core_106_1/,171800006.0,171800006.0,171800006.0,0.0
carassius_auratus/,https://ftp.ensembl.org/pub/release-106/fasta/carassius_auratus/dna/Carassius_auratus.ASM336829v1.dna.primary_assembly.1.fa.gz,carassius_auratus_core_106_1/,34767119.0,34767119.0,34767119.0,0.0
carlito_syrichta/,https://ftp.ensembl.org/pub/release-106/fasta/carlito_syrichta/dna/Carlito_syrichta.Tarsius_syrichta-2.0.1.dna.toplevel.fa.gz,carlito_syrichta_core_106_2/,6908.585788684589,450503.0,38170.0,155714.0
castor_canadensis/,https://ftp.ensembl.org/pub/release-106/fasta/castor_canadensis/dna/Castor_canadensis.C.can_genome_v1.0.dna.toplevel.fa.gz,castor_canadensis_core_106_1/,119029.47322399206,4235486.0,317708.0,0.0
catagonus_wagneri/,https://ftp.ensembl.org/pub/release-106/fasta/catagonus_wagneri/dna/Catagonus_wagneri.CatWag_v2_BIUU_UCD.dna.toplevel.fa.gz,catagonus_wagneri_core_106_2/,2230.295602882414,72429727.0,19204659.0,0.0
catharus_ustulatus/,https://ftp.ensembl.org/pub/release-106/fasta/catharus_ustulatus/dna/Catharus_ustulatus.bCatUst1.pri.dna.primary_assembly.1.fa.gz,catharus_ustulatus_core_106_1/,165774257.0,165774257.0,165774257.0,0.0
cavia_aperea/,https://ftp.ensembl.org/pub/release-106/fasta/cavia_aperea/dna/Cavia_aperea.CavAp1.0.dna.toplevel.fa.gz,cavia_aperea_core_106_10/,867580.1456403704,88624872.0,27928670.0,0.0
cavia_porcellus/,https://ftp.ensembl.org/pub/release-106/fasta/cavia_porcellus/dna/Cavia_porcellus.Cavpor3.0.dna.toplevel.fa.gz,cavia_porcellus_core_106_4/,43232.71425556782,1576631.0,80583.0,58460.0
cebus_capucinus/,https://ftp.ensembl.org/pub/release-106/fasta/cebus_capucinus/dna/Cebus_capucinus.Cebus_imitator-1.0.dna.toplevel.fa.gz,cebus_capucinus_core_106_1/,18566.3832443082,458126.0,41195.0,133441.0
cercocebus_atys/,https://ftp.ensembl.org/pub/release-106/fasta/cercocebus_atys/dna/Cercocebus_atys.Caty_1.0.dna.toplevel.fa.gz,cercocebus_atys_core_106_1/,36314.31235668126,1577852.0,112941.0,65319.0
cervus_hanglu_yarkandensis/,https://ftp.ensembl.org/pub/release-106/fasta/cervus_hanglu_yarkandensis/dna/Cervus_hanglu_yarkandensis.CEY_v1.dna.primary_assembly.1.fa.gz,cervus_hanglu_yarkandensis_core_106_1/,76739673.0,76739673.0,76739673.0,0.0
chelonoidis_abingdonii/,https://ftp.ensembl.org/pub/release-106/fasta/chelonoidis_abingdonii/dna/Chelonoidis_abingdonii.ASM359739v1.dna.toplevel.fa.gz,chelonoidis_abingdonii_core_106_1/,216682.9266340177,10495550.0,1277207.0,0.0
chelydra_serpentina/,https://ftp.ensembl.org/pub/release-106/fasta/chelydra_serpentina/dna/Chelydra_serpentina.Chelydra_serpentina-1.0.dna.toplevel.fa.gz,chelydra_serpentina_core_106_1/,21170.22894094207,85492995.0,21135443.0,0.0
chinchilla_lanigera/,https://ftp.ensembl.org/pub/release-106/fasta/chinchilla_lanigera/dna/Chinchilla_lanigera.ChiLan1.0.dna.toplevel.fa.gz,chinchilla_lanigera_core_106_1/,27973.588272753994,610607.0,61104.0,78817.0
chlorocebus_sabaeus/,https://ftp.ensembl.org/pub/release-106/fasta/chlorocebus_sabaeus/dna/Chlorocebus_sabaeus.ChlSab1.1.dna.toplevel.fa.gz,chlorocebus_sabaeus_core_106_1/,16911.190014994714,1858648.0,90453.0,160720.0
choloepus_hoffmanni/,https://ftp.ensembl.org/pub/release-106/fasta/choloepus_hoffmanni/dna/Choloepus_hoffmanni.choHof1.dna.toplevel.fa.gz,choloepus_hoffmanni_core_106_1/,2142.760518934081,118585.0,2342.0,506614.0
