SGIP1	1	chr1	+	66999965	67213982	67000051,67091593,67098777,67101698,67105516,67108547,67109402,67126207,67133224,67136702,67137678,67139049,67142779,67145435,67148052,67154958,67155999,67161176,67185088,67195102,67199563,67205220,67206405,67207119,	67091530,67098753,67101627,67105460,67108493,67109227,67126196,67133213,67136678,67137627,67138964,67142687,67145361,67147552,67154831,67155873,67161117,67184977,67194947,67199431,67205018,67206341,67206955,67208756,
SLC45A1	1	chr1	+	8384390	8404227	8384786,8385450,8386102,8390996,8395650,8398052,8399758,	8385358,8385878,8390269,8395497,8397876,8399553,8403807,
NECAP2	1	chr1	+	16767167	16786573	16767348,16770227,16774469,16774636,16775696,16778510,16782388,	16770127,16774365,16774555,16775588,16778333,16782313,16785337,
CLIC4	1	chr1	+	25071848	25170815	25072116,25124342,25140710,25153607,25166532,	25124233,25140585,25153501,25166351,25167264,
AZIN2	0	chr1	+	33546714	33585995	33546895,33547109,33547413,33547955,33549728,33557823,33559017,33560314,33562470,33563780,33583717,	33546989,33547202,33547779,33549555,33557651,33558883,33560149,33562308,33563668,33583503,33585645,
AGBL4	1	chr1	-	48998527	50489585	48999965,49000588,49005410,49052838,49056657,49100276,49119123,49128913,49332902,49511472,49711536,50163109,50317190,	49000562,49005314,49052676,49056505,49100165,49119009,49128824,49332863,49511256,49711442,50162985,50317068,50489435,
TGFBR3	1	chr1	-	92145902	92351836	92149414,92161336,92163687,92174340,92178099,92181951,92182265,92185021,92185787,92187701,92193363,92195530,92200516,92224307,92263028,92327201,	92161229,92163646,92174220,92177800,92181793,92182125,92184869,92185450,92187512,92193216,92195362,92200333,92224170,92262844,92327028,92351435,
DBT	1	chr1	-	100652475	100715390	100661978,100671857,100672192,100676327,100680539,100681755,100684303,100696470,100701067,100706440,	100671786,100672001,100676250,100680373,100681539,100684182,100696289,100700992,100706317,100715326,
PRUNE	0	chr1	+	150980953	151008189	150981147,150990380,150991145,150997271,150998149,150999803,151001420,	150990288,150990943,150997087,150997991,150999709,151001262,151006282,
RFWD2	1	chr1	-	175913967	176176629	175914306,175916375,175956239,175957548,175958615,175996824,176012403,176012954,176015460,176050423,176055026,176085817,176104222,176105683,176118210,176132124,176133027,176145143,176153828,	175916331,175956079,175957424,175958498,175996708,176012322,176012846,176015317,176050288,176054912,176085760,176104146,176105624,176118142,176132005,176132951,176145046,176153769,176175708,
C1orf21	0	chr1	+	184356192	184598154	184356502,184446737,184476816,184559949,184567595,	184446520,184476722,184559873,184567535,184588652,
LIN9	0	chr1	-	226418858	226497434	226420307,226420894,226421224,226426797,226438620,226453335,226454033,226455791,226465633,226474159,226475498,226483647,226485514,226488906,	226420797,226421045,226426672,226438540,226453234,226453914,226455658,226465476,226474034,226475365,226483543,226485420,226488874,226496810,
C1orf159	0	chr1	-	1017203	1051478	1018367,1019763,1019886,1021392,1022584,1022977,1025808,1026945,1027483,	1019733,1019861,1021258,1022519,1022882,1025733,1026852,1027371,1051440,
PRDM16	1	chr1	+	2985775	3355185	2985860,3103038,3160701,3301850,3313157,3319562,3321450,3322212,3329364,3331211,3334561,3335308,3342314,3342789,3347672,3348704,	3102689,3160651,3301716,3313055,3319355,3321303,3322059,3327948,3331124,3334392,3335231,3342145,3342615,3347436,3348530,3350241,
ICMT	0	chr1	-	6281253	6296000	6285322,6292179,6293703,6295034,	6291962,6293534,6294946,6295777,
CAMTA1	1	chr1	+	6845384	7829766	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7811452,7812593,7815728,	6880241,6885152,7151364,7309551,7527890,7700460,7721786,7723413,7730971,7737659,7792508,7796404,7796991,7797315,7798019,7804895,7805905,7807770,7811259,7812519,7815698,7826519,
PINK1	0	chr1	+	20959948	20978004	20960428,20964622,20966485,20971165,20972216,20975125,20975724,	20964335,20966385,20970983,20972053,20974998,20975488,20976927,
USP48	1	chr1	-	22005072	22110099	22005932,22007327,22013732,22016592,22021714,22028095,22030111,22030885,22032330,22032680,22033082,22033361,22041950,22047659,22048257,22050588,22055212,22056325,22063118,22073642,22074764,22078108,22079144,22079612,22083195,22084276,	22007301,22013684,22016467,22021559,22027991,22030005,22030755,22032220,22032619,22032960,22033237,22041882,22047529,22048143,22050391,22055063,22056197,22062939,22073560,22074631,22078000,22079020,22079485,22083039,22084156,22109317,
EPHB2	1	chr1	+	23037463	23240763	23037536,23107978,23111569,23189685,23191705,23208976,23219539,23222073,23222971,23232602,23233450,23234661,23235664,23237068,23239092,	23107914,23110885,23189530,23191370,23208852,23219377,23221965,23222904,23232480,23233203,23234446,23235515,23236875,23238937,23239955,
NUDC	1	chr1	+	27248217	27273353	27248420,27250657,27268151,27268309,27269267,27269556,27271964,27272177,	27250580,27267948,27268244,27269151,27269362,27271881,27272059,27272621,
EYA3	1	chr1	-	28296855	28415207	28301057,28304985,28315167,28316322,28320071,28323889,28326560,28330930,28337597,28339805,28343750,28354437,28362191,28365416,28369161,28374937,28384605,	28304885,28315046,28316208,28319911,28323831,28326471,28330847,28337458,28339622,28343665,28354300,28362055,28365350,28369082,28374894,28384505,28415035,
EPB41	1	chr1	+	29213603	29446558	29213722,29314417,29320054,29323831,29338419,29342279,29344954,29356999,29359757,29362435,29365938,29379824,29385157,29385364,29386996,29391670,29424447,29435949,29438960,29442315,	29313943,29319842,29323727,29338377,29342204,29344736,29356912,29359605,29362338,29365766,29379616,29385101,29385323,29386934,29391494,29424319,29435848,29438880,29442211,29443331,
PUM1	1	chr1	-	31404353	31538545	31406189,31409682,31414119,31414970,31418330,31423108,31425210,31426828,31437757,31439125,31440157,31441339,31447649,31453010,31454252,31465507,31468067,31478878,31479949,31501711,31532424,	31409490,31413998,31414845,31418193,31422980,31425081,31426561,31437521,31438829,31440014,31441201,31447498,31452909,31454159,31465237,31467901,31478700,31479841,31501643,31532051,31538463,
KHDRBS1	1	chr1	+	32479430	32509483	32479978,32496023,32497241,32498935,32502644,32503637,32504220,32505174,	32495899,32497125,32498789,32502511,32503436,32504153,32505116,32508128,
