gene	transcript	type	TSS	PolyA	strand
gene-LOC124908093	rna-XR_007089328.1	lnc_RNA	26003	37072	+
gene-LOC124908094	rna-XM_047446926.1	mRNA	92617	75233	-
gene-LOC124908094	rna-XM_047446921.1	mRNA	92616	75233	-
gene-LOC124908094	rna-XM_047446932.1	mRNA	92478	75233	-
gene-LOC124908094	rna-XM_047446934.1	mRNA	92288	75233	-
gene-LOC124908094	rna-XM_047446930.1	mRNA	92280	75233	-
gene-LOC124908094	rna-XM_047446928.1	mRNA	92275	75233	-
gene-LOC124908094	rna-XM_047446924.1	mRNA	92273	75233	-
gene-LOC124908094	rna-XM_047446933.1	mRNA	92201	75233	-
gene-LOC124908094	rna-XM_047446931.1	mRNA	90517	75233	-
gene-LOC124908094	rna-XM_047446929.1	mRNA	90514	75233	-
gene-LOC124908094	rna-XM_047446925.1	mRNA	90512	75233	-
gene-LOC124908094	rna-XM_047446923.1	mRNA	87710	75233	-
gene-LOC124908094	rna-XM_047446922.1	mRNA	81132	75233	-
gene-LOC124908094	rna-XM_047446927.1	mRNA	79879	75233	-
gene-LOC124908094	rna-XM_047446935.1	mRNA	92617	77700	-
gene-LOC124908095	rna-XR_007089330.1	lnc_RNA	92020	94327	+
gene-LOC124908095	rna-XR_007089329.1	lnc_RNA	92770	94327	+
gene-DEFB125	rna-NM_153325.4	mRNA	130103	139526	+
gene-DEFB126	rna-NM_001412225.1	mRNA	185040	188195	+
gene-DEFB127	rna-NM_139074.4	mRNA	199980	201680	+
gene-DEFB128	rna-NM_001037732.3	mRNA	232244	230386	-
gene-DEFB129	rna-NM_080831.4	mRNA	269794	272422	+
gene-DEFB132	rna-NM_207469.3	mRNA	300269	303641	+
gene-C20orf96	rna-XM_054322990.1	mRNA	333931	313407	-
gene-C20orf96	rna-XM_054322989.1	mRNA	333485	318520	-
gene-C20orf96	rna-XM_054322992.1	mRNA	333931	318527	-
gene-ZCCHC3	rna-NM_033089.7	mRNA	340751	343502	+
gene-NRSN2-AS1	rna-NR_109990.1	lnc_RNA	368612	363047	-
gene-SOX12	rna-NM_006943.4	mRNA	368912	373583	+
gene-LOC101929937	rna-XM_047446958.1	mRNA	392055	389098	-
gene-NRSN2	rna-NM_001323684.2	mRNA	390458	398226	+
gene-NRSN2	rna-NM_001323685.2	mRNA	391252	398226	+
gene-TRIB3	rna-NM_021158.5	mRNA	424106	440962	+
gene-TRIB3	rna-NM_001301201.1	mRNA	424707	440962	+
gene-TRIB3	rna-NM_001301188.1	mRNA	424718	440962	+
gene-TRIB3	rna-NM_001301193.1	mRNA	424755	440962	+
gene-RBCK1	rna-XM_054322844.1	mRNA	451837	475907	+
gene-RBCK1	rna-XM_054322846.1	mRNA	451837	472796	+
gene-RBCK1	rna-XM_054322848.1	mRNA	451837	466006	+
gene-RBCK1	rna-XM_054322847.1	mRNA	451837	464215	+
gene-RBCK1	rna-NM_001323960.2	mRNA	451837	454302	+
gene-TBC1D20	rna-NM_144628.4	mRNA	506259	479230	-
gene-CSNK2A1	rna-NM_177560.3	mRNA	587493	516231	-
gene-TCF15	rna-NM_004609.4	mRNA	654045	647993	-
gene-SRXN1	rna-NM_080725.3	mRNA	697473	690888	-
gene-LOC107985423	rna-XR_007089331.1	lnc_RNA	697226	703113	+
gene-SCRT2	rna-NM_033129.4	mRNA	720057	705868	-
gene-SLC52A3	rna-XM_054322921.1	mRNA	824431	804407	-
gene-SLC52A3	rna-NM_001370085.1	mRNA	820381	804407	-
gene-SLC52A3	rna-XM_054322919.1	mRNA	819359	804407	-
gene-SLC52A3	rna-XM_054322920.1	mRNA	817744	804407	-
gene-SLC52A3	rna-NM_033409.4	mRNA	812909	804407	-
gene-FAM110A	rna-XM_054324097.1	mRNA	880827	893377	+
gene-FAM110A	rna-NM_207121.5	mRNA	883163	893377	+
gene-FAM110A	rna-NM_001289147.2	mRNA	888394	893377	+
gene-FAM110A	rna-XM_054324098.1	mRNA	888421	893377	+
gene-FAM110A	rna-NM_031424.6	mRNA	891746	893377	+
gene-ANGPT4	rna-XM_054323480.1	mRNA	963414	917001	-
gene-LOC124908096	rna-XR_007089332.1	lnc_RNA	922100	933541	+
gene-LOC105372492	rna-XR_007089333.1	lnc_RNA	960519	985292	+
gene-RSPO4	rna-NM_001040007.3	mRNA	1049277	1005418	-
gene-RSPO4	rna-XM_054323406.1	mRNA	1049277	1008957	-
gene-PSMF1	rna-NM_178578.4	mRNA	1160210	1219463	+
gene-PSMF1	rna-NM_001323409.2	mRNA	1165635	1219463	+
gene-LOC105372493	rna-NR_136535.1	lnc_RNA	1165481	1164885	-
gene-LOC124904855	rna-XR_007089335.1	lnc_RNA	1222005	1227169	+
gene-TMEM74B	rna-XM_054323618.1	mRNA	1236630	1227787	-
gene-TMEM74B	rna-XM_054323619.1	mRNA	1233902	1227787	-
gene-TMEM74B	rna-XM_054323620.1	mRNA	1233681	1227787	-
gene-TMEM74B	rna-XM_054323621.1	mRNA	1233435	1227787	-
gene-TMEM74B	rna-NM_001387329.1	mRNA	1233141	1227787	-
gene-TMEM74B	rna-XM_054323622.1	mRNA	1232291	1227787	-
gene-TMEM74B	rna-XM_054323624.1	mRNA	1232202	1227787	-
gene-LOC124908097	rna-XR_007089334.1	lnc_RNA	1232949	1239551	+
gene-C20orf202	rna-NM_001394958.1	mRNA	1250655	1256276	+
gene-RAD21L1	rna-NM_001136566.3	mRNA	1273333	1303182	+
gene-RAD21L1	rna-XM_054323834.1	mRNA	1273437	1303182	+
gene-RAD21L1	rna-XM_054323835.1	mRNA	1273925	1303182	+
gene-RAD21L1	rna-XM_054323840.1	mRNA	1277802	1303182	+
gene-RAD21L1	rna-XM_054323839.1	mRNA	1277875	1303182	+
gene-RAD21L1	rna-NM_001384358.1	mRNA	1280273	1303182	+
gene-SNPH	rna-XM_054324266.1	mRNA	1314354	1358529	+
gene-FKBP1A-SDCBP2	rna-NR_037661.1	lnc_RNA	1442358	1359111	-
gene-SDCBP2	rna-NM_080489.5	mRNA	1378344	1359111	-
gene-SDCBP2	rna-NM_001199784.2	mRNA	1375074	1359111	-
gene-SDCBP2	rna-NM_015685.6	mRNA	1362879	1359111	-
gene-LOC124904856	rna-XR_007089336.1	lnc_RNA	1369640	1373574	+
gene-SDCBP2-AS1	rna-NR_040047.1	lnc_RNA	1374548	1427916	+
gene-FKBP1A	rna-NM_001199786.2	mRNA	1442240	1418160	-
gene-FKBP1A	rna-NM_054014.4	mRNA	1442240	1420897	-
gene-LOC105372497	rna-XR_007089340.1	lnc_RNA	1474147	1454332	-
gene-NSFL1C	rna-XM_054323718.1	mRNA	1516045	1491357	-
gene-NSFL1C	rna-XM_054323720.1	mRNA	1513569	1491357	-
gene-NSFL1C	rna-XM_054323714.1	mRNA	1512586	1491357	-
gene-NSFL1C	rna-XM_054323719.1	mRNA	1512545	1491357	-
gene-NSFL1C	rna-XM_054323711.1	mRNA	1512511	1491357	-
gene-NSFL1C	rna-XM_054323713.1	mRNA	1512510	1491357	-
gene-NSFL1C	rna-XM_054323715.1	mRNA	1507364	1491357	-
gene-NSFL1C	rna-XM_054323716.1	mRNA	1516045	1494925	-
gene-SIRPB2	rna-XM_054323392.1	mRNA	1540612	1522641	-
gene-SIRPB2	rna-NM_001134836.2	mRNA	1540612	1523775	-
gene-SIRPB2	rna-XM_054323394.1	mRNA	1540612	1525439	-
gene-SIRPB2	rna-XM_054323393.1	mRNA	1540612	1527109	-
gene-LOC105372499	rna-XR_007089345.1	lnc_RNA	1561753	1599374	+
gene-LOC105372498	rna-XR_007089346.1	lnc_RNA	1570812	1564779	-
gene-SIRPD	rna-NM_178460.3	mRNA	1606886	1583428	-
gene-SIRPD	rna-XM_054322963.1	mRNA	1606886	1589335	-
gene-SIRPD	rna-XM_054322962.1	mRNA	1606886	1594489	-
gene-SIRPD	rna-XM_054322964.1	mRNA	1606886	1598909	-
gene-LOC107985409	rna-XR_007089343.1	lnc_RNA	1607188	1610720	+
gene-LOC107985409	rna-XR_007089342.1	lnc_RNA	1608090	1610720	+
gene-SIRPB1	rna-NM_001083910.4	mRNA	1636142	1610568	-
gene-SIRPB1	rna-NM_001329157.2	mRNA	1636142	1614216	-
gene-SIRPG	rna-XM_054323627.1	mRNA	1702597	1645285	-
gene-SIRPG	rna-NM_080816.3	mRNA	1673915	1645285	-
gene-SIRPG	rna-XM_054323626.1	mRNA	1673915	1651643	-
gene-SIRPG-AS1	rna-NR_110090.1	lnc_RNA	1649641	1664606	+
gene-LOC124908098	rna-XR_007089348.1	lnc_RNA	1856199	1804214	-
gene-LOC124908098	rna-XR_007089347.1	lnc_RNA	1834878	1804214	-
gene-LOC124908098	rna-XR_007089350.1	lnc_RNA	1834878	1822832	-
gene-LOC124908098	rna-XR_007089354.1	lnc_RNA	1827484	1822832	-
gene-LOC124908098	rna-XR_007089355.1	lnc_RNA	1827460	1822832	-
gene-LOC124908098	rna-XR_007089353.1	lnc_RNA	1834878	1827577	-
gene-LOC124908098	rna-XR_007089351.1	lnc_RNA	1885886	1880360	-
gene-LOC105372501	rna-XR_007089356.1	lnc_RNA	1846311	1852996	+
gene-LOC102724545	rna-NR_186374.1	lnc_RNA	1924440	1918312	-
gene-LOC102724545	rna-NR_186373.1	lnc_RNA	1924440	1920265	-
gene-SIRPA	rna-XM_054323051.1	mRNA	1924357	1970768	+
gene-SIRPA	rna-NM_001330728.1	mRNA	1924357	1970070	+
gene-SIRPA	rna-XM_054323047.1	mRNA	1924932	1970768	+
gene-SIRPA	rna-XM_054323052.1	mRNA	1925080	1970768	+
gene-SIRPA	rna-XM_054323048.1	mRNA	1925090	1970768	+
gene-SIRPA	rna-XM_054323050.1	mRNA	1925102	1970768	+
gene-SIRPA	rna-NM_001040023.2	mRNA	1925597	1970768	+
gene-SIRPA	rna-XM_054323049.1	mRNA	1944467	1970768	+
gene-PDYN-AS1	rna-NR_134520.1	lnc_RNA	1977386	2037655	+
gene-PDYN	rna-NM_001190899.2	mRNA	2024417	2008888	-
gene-PDYN	rna-NM_001190900.1	mRNA	2023880	2008888	-
gene-PDYN	rna-NM_001190892.1	mRNA	2022938	2008888	-
gene-PDYN	rna-XM_054323505.1	mRNA	2017084	2008888	-
gene-PDYN	rna-XM_054323503.1	mRNA	2016231	2008888	-
gene-PDYN	rna-XM_054323501.1	mRNA	2014548	2008888	-
gene-PDYN	rna-XM_054323500.1	mRNA	2014460	2008888	-
gene-PDYN	rna-XM_054323499.1	mRNA	2014450	2008888	-
gene-PDYN	rna-XM_054323502.1	mRNA	2014413	2008888	-
gene-PDYN	rna-XM_054323506.1	mRNA	2013821	2008888	-
gene-PDYN	rna-NM_001190898.3	mRNA	2024190	2008891	-
